id,clientID,topic,message,timestamp
793,t1g2:110,t1g2,23.25;68.96;43,2024-07-12 14:40:41
794,t1g2:110,t1g2,23.28;68.99;43,2024-07-12 14:55:41
795,t1g2:110,t1g2,23.21;68.53;43,2024-07-12 15:10:41
796,t1g2:110,t1g2,23.08;69.20;44,2024-07-12 15:25:41
797,t1g2:110,t1g2,23.04;68.63;44,2024-07-12 15:40:41
798,t1g2:110,t1g2,23.07;68.51;44,2024-07-12 15:55:40
799,t1g2:110,t1g2,22.80;68.80;43,2024-07-12 16:10:40
800,t1g2:110,t1g2,22.80;68.59;45,2024-07-12 16:25:41
801,t1g2:110,t1g2,22.87;68.22;47,2024-07-12 16:40:40
802,t1g2:110,t1g2,22.77;68.54;46,2024-07-12 16:55:41
803,t1g2:110,t1g2,22.77;68.34;45,2024-07-12 17:10:40
804,t1g2:110,t1g2,22.77;68.42;46,2024-07-12 17:25:40
805,t1g2:110,t1g2,22.70;68.32;47,2024-07-12 17:40:40
806,t1g2:110,t1g2,22.60;68.59;46,2024-07-12 17:55:40
807,t1g2:110,t1g2,22.67;68.88;47,2024-07-12 18:10:40
808,t1g2:110,t1g2,22.62;69.15;48,2024-07-12 18:25:40
809,t1g2:110,t1g2,22.54;68.96;48,2024-07-12 18:40:40
810,t1g2:110,t1g2,22.62;69.40;49,2024-07-12 18:55:40
811,t1g2:110,t1g2,22.89;67.99;50,2024-07-12 19:10:40
812,t1g2:110,t1g2,23.22;67.04;49,2024-07-12 19:25:40
813,t1g2:110,t1g2,23.41;66.62;50,2024-07-12 19:40:40
814,t1g2:110,t1g2,23.50;66.55;49,2024-07-12 19:55:40
815,t1g2:110,t1g2,23.66;67.35;49,2024-07-12 20:10:40
816,t1g2:110,t1g2,23.76;69.25;50,2024-07-12 20:25:40
817,t1g2:110,t1g2,23.91;70.89;50,2024-07-12 20:40:39
818,t1g2:110,t1g2,24.03;72.56;50,2024-07-12 20:55:39
819,t1g2:110,t1g2,24.08;72.23;50,2024-07-12 21:10:39
820,t1g2:110,t1g2,24.18;72.51;51,2024-07-12 21:25:39
821,t1g2:110,t1g2,24.21;72.78;50,2024-07-12 21:40:39
822,t1g2:110,t1g2,24.28;74.44;50,2024-07-12 21:55:39
823,t1g2:110,t1g2,24.37;75.90;50,2024-07-12 22:10:39
824,t1g2:110,t1g2,24.44;76.99;49,2024-07-12 22:25:39
825,t1g2:110,t1g2,24.52;78.15;49,2024-07-12 22:40:39
826,t1g2:110,t1g2,24.54;78.91;49,2024-07-12 22:55:39
827,t1g2:110,t1g2,24.59;79.34;48,2024-07-12 23:10:39
828,t1g2:110,t1g2,24.66;79.83;47,2024-07-12 23:25:38
829,t1g2:110,t1g2,24.72;80.30;47,2024-07-12 23:40:38
830,t1g2:110,t1g2,24.69;80.73;47,2024-07-12 23:55:38
