id,clientID,topic,message,timestamp
290,t2g2:114,t2g2,24.48;64.22;33;Min;,2024-07-02 16:25:56
291,t2g2:114,t2g2,24.38;64.21;34;Min;,2024-07-02 16:35:57
292,t2g2:114,t2g2,24.46;63.81;35;Min;,2024-07-02 16:45:57
293,t2g2:114,t2g2,24.48;63.80;35;Min;,2024-07-02 16:55:58
294,t2g2:114,t2g2,24.56;63.72;35;Min;,2024-07-02 17:05:58
295,t2g2:114,t2g2,24.66;63.13;35;Min;,2024-07-02 17:15:58
296,t2g2:114,t2g2,24.62;63.80;33;Min;,2024-07-02 17:25:59
297,t2g2:114,t2g2,24.43;64.30;35;Min;,2024-07-02 17:35:59
298,t2g2:114,t2g2,24.38;64.24;35;Min;,2024-07-02 17:46:00
299,t2g2:114,t2g2,24.24;64.50;35;Min;,2024-07-02 17:56:00
300,t2g2:114,t2g2,24.01;64.83;35;Min;,2024-07-02 18:06:00
301,t2g2:114,t2g2,24.18;62.96;35;Min;,2024-07-02 18:16:01
302,t2g2:114,t2g2,23.97;63.74;35;Min;,2024-07-02 18:26:01
303,t2g2:114,t2g2,23.75;64.40;35;Min;,2024-07-02 18:36:02
304,t2g2:114,t2g2,23.68;64.59;36;Min;,2024-07-02 18:46:02
305,t2g2:114,t2g2,23.68;63.99;38;Min;,2024-07-02 18:56:02
306,t2g2:114,t2g2,23.91;63.34;35;Min;,2024-07-02 19:06:03
307,t2g2:114,t2g2,24.35;61.96;35;Min;,2024-07-02 19:16:03
308,t2g2:114,t2g2,24.56;61.29;35;Min;,2024-07-02 19:26:03
309,t2g2:114,t2g2,24.63;61.07;34;Min;,2024-07-02 19:36:04
310,t2g2:114,t2g2,24.74;60.76;34;Min;,2024-07-02 19:46:04
311,t2g2:114,t2g2,24.82;60.38;33;Min;,2024-07-02 19:56:04
312,t2g2:114,t2g2,24.84;60.37;33;Min;,2024-07-02 20:06:05
313,t2g2:114,t2g2,24.93;60.51;33;Min;,2024-07-02 20:16:05
314,t2g2:114,t2g2,25.00;61.54;34;Min;,2024-07-02 20:26:05
315,t2g2:114,t2g2,25.04;63.02;34;Min;,2024-07-02 20:36:06
316,t2g2:114,t2g2,25.11;63.49;33;Min;,2024-07-02 20:46:06
317,t2g2:114,t2g2,25.15;64.79;34;Min;,2024-07-02 20:56:06
318,t2g2:114,t2g2,25.20;64.87;33;Min;,2024-07-02 21:06:07
319,t2g2:114,t2g2,25.25;66.21;33;Min;,2024-07-02 21:16:07
320,t2g2:114,t2g2,25.31;66.80;34;Min;,2024-07-02 21:26:08
321,t2g2:114,t2g2,25.30;67.91;33;Min;,2024-07-02 21:36:08
322,t2g2:114,t2g2,25.34;68.22;34;Min;,2024-07-02 21:46:08
323,t2g2:114,t2g2,25.38;68.88;34;Min;,2024-07-02 21:56:09
324,t2g2:114,t2g2,25.42;69.25;34;Min;,2024-07-02 22:06:09
325,t2g2:114,t2g2,25.45;70.30;34;Min;,2024-07-02 22:16:09
